x,y
-0.5,1.20603
-0.499,1.60804
-0.498,1.60804
-0.497,-0.80402
-0.496,0.80402
-0.495,0.40201
-0.494,-0.40201
-0.493,-0.80402
-0.492,-1.20603
-0.491,0
-0.49,0.80402
-0.489,1.20603
-0.488,0.80402
-0.487,0
-0.486,0.80402
-0.485,0.80402
-0.484,0
-0.483,-1.60804
-0.482,-0.80402
-0.481,0.80402
-0.48,0.40201
-0.479,0.40201
-0.478,1.20603
-0.477,-0.40201
-0.476,0.80402
-0.475,0.80402
-0.474,-0.80402
-0.473,-1.20603
-0.472,-0.40201
-0.471,0.80402
-0.47,0.80402
-0.469,0.40201
-0.468,0.80402
-0.467,0.40201
-0.466,0.80402
-0.465,1.20603
-0.464,-1.20603
-0.463,-0.40201
-0.462,0.40201
-0.461,0.80402
-0.46,1.20603
-0.459,1.20603
-0.458,0.80402
-0.457,0
-0.456,0.80402
-0.455,0
-0.454,0
-0.453,-0.80402
-0.452,0
-0.451,0.80402
-0.45,1.20603
-0.449,0.80402
-0.448,1.20603
-0.447,0.40201
-0.446,0.80402
-0.445,0.40201
-0.444,-0.80402
-0.443,-1.20603
-0.442,-0.40201
-0.441,-0.80402
-0.44,0.40201
-0.439,1.20603
-0.438,1.20603
-0.437,0
-0.436,0.80402
-0.435,0.80402
-0.434,0
-0.433,-0.40201
-0.432,-1.20603
-0.431,-0.40201
-0.43,0.40201
-0.429,0.80402
-0.428,1.20603
-0.427,0.40201
-0.426,1.20603
-0.425,0.80402
-0.424,0.40201
-0.423,-1.20603
-0.422,0
-0.421,0.80402
-0.42,1.20603
-0.419,1.60804
-0.418,0.80402
-0.417,-1.60804
-0.416,0.40201
-0.415,-0.40201
-0.414,-2.01005
-0.413,-1.60804
-0.412,-1.20603
-0.411,0.40201
-0.41,1.20603
-0.409,1.20603
-0.408,1.20603
-0.407,0.40201
-0.406,0.40201
-0.405,0.40201
-0.404,-2.01005
-0.403,-2.01005
-0.402,-0.80402
-0.401,0.80402
-0.4,0.80402
-0.399,0.80402
-0.398,0.80402
-0.397,0.80402
-0.396,0
-0.395,-1.20603
-0.394,-1.20603
-0.393,-1.20603
-0.392,0.40201
-0.391,0.40201
-0.39,0.40201
-0.389,0.80402
-0.388,1.20603
-0.387,0.80402
-0.386,0.40201
-0.385,0.80402
-0.384,-0.40201
-0.383,-1.60804
-0.382,-0.80402
-0.381,-0.80402
-0.38,0
-0.379,1.20603
-0.378,1.20603
-0.377,1.60804
-0.376,0.40201
-0.375,0.80402
-0.374,-0.80402
-0.373,-0.80402
-0.372,-1.20603
-0.371,0.80402
-0.37,1.60804
-0.369,1.60804
-0.368,1.60804
-0.367,0.40201
-0.366,0.40201
-0.365,0.40201
-0.364,-1.20603
-0.363,-2.81407
-0.362,-1.60804
-0.361,0.40201
-0.36,0.80402
-0.359,1.20603
-0.358,1.20603
-0.357,1.20603
-0.356,0.40201
-0.355,0.40201
-0.354,-0.80402
-0.353,-2.41206
-0.352,-0.80402
-0.351,0.40201
-0.35,0.40201
-0.349,0.40201
-0.348,0.80402
-0.347,0.80402
-0.346,1.20603
-0.345,1.60804
-0.344,-0.40201
-0.343,0
-0.342,-0.40201
-0.341,0.80402
-0.34,0.80402
-0.339,1.20603
-0.338,1.20603
-0.337,0.80402
-0.336,0.40201
-0.335,-0.80402
-0.334,-0.40201
-0.333,-0.80402
-0.332,-0.40201
