x,y
-1,1.60804
-0.999,0.40201
-0.998,0
-0.997,0.40201
-0.996,0.40201
-0.995,0
-0.994,0
-0.993,-0.80402
-0.992,-0.80402
-0.991,-0.80402
-0.99,-0.80402
-0.989,-1.60804
-0.988,-0.80402
-0.987,0.40201
-0.986,1.20603
-0.985,1.20603
-0.984,1.20603
-0.983,0.80402
-0.982,1.20603
-0.981,0.80402
-0.98,0.80402
-0.979,0
-0.978,-0.40201
-0.977,0.80402
-0.976,1.20603
-0.975,0.80402
-0.974,0.80402
-0.973,0
-0.972,-0.40201
-0.971,-0.80402
-0.97,-0.40201
-0.969,-1.60804
-0.968,-1.20603
-0.967,0.40201
-0.966,0.80402
-0.965,1.20603
-0.964,0.80402
-0.963,0.40201
-0.962,0
-0.961,0.40201
-0.96,0
-0.959,-0.80402
-0.958,-0.80402
-0.957,0
-0.956,0.80402
-0.955,0.40201
-0.954,1.20603
-0.953,0.40201
-0.952,0
-0.951,-0.40201
-0.95,-0.40201
-0.949,-0.80402
-0.948,-1.20603
-0.947,-0.40201
-0.946,0
-0.945,0.40201
-0.944,0.80402
-0.943,0.80402
-0.942,0.80402
-0.941,0.80402
-0.94,0.40201
-0.939,-0.80402
-0.938,-1.20603
-0.937,0
-0.936,0.80402
-0.935,0.80402
-0.934,1.20603
-0.933,0.80402
-0.932,0
-0.931,0.40201
-0.93,0.40201
-0.929,-0.40201
-0.928,-1.20603
-0.927,0.40201
-0.926,0.80402
-0.925,1.20603
-0.924,1.20603
-0.923,0.40201
-0.922,0.40201
-0.921,0.80402
-0.92,0.40201
-0.919,-0.40201
-0.918,0
-0.917,0.40201
-0.916,0.80402
-0.915,1.20603
-0.914,1.20603
-0.913,0.40201
-0.912,0
-0.911,0.40201
-0.91,1.20603
-0.909,-0.40201
-0.908,-0.40201
-0.907,0.80402
-0.906,1.20603
-0.905,0.80402
-0.904,1.20603
-0.903,0
-0.902,0
-0.901,-0.40201
-0.9,-0.40201
-0.899,-1.60804
-0.898,-1.60804
-0.897,-0.80402
-0.896,-0.40201
-0.895,0
-0.894,0
-0.893,0.40201
-0.892,0.40201
-0.891,0.40201
-0.89,0
-0.889,0
-0.888,0
-0.887,1.60804
-0.886,2.01005
-0.885,2.01005
-0.884,2.01005
-0.883,0.80402
-0.882,0
-0.881,0
-0.88,0
-0.879,-0.40201
-0.878,-0.40201
-0.877,0.80402
-0.876,0.80402
-0.875,0.80402
-0.874,0.80402
-0.873,0
-0.872,0.40201
-0.871,-0.40201
-0.87,-0.40201
-0.869,-0.80402
-0.868,-0.40201
-0.867,0.80402
-0.866,0.80402
-0.865,0.80402
-0.864,0.80402
-0.863,0.40201
-0.862,0.40201
-0.861,0
-0.86,0
-0.859,-1.60804
-0.858,-1.60804
-0.857,-0.80402
-0.856,0
-0.855,0.40201
-0.854,0
-0.853,0
-0.852,0
-0.851,0
-0.85,0
-0.849,-0.40201
