x,y
-1,0.80402
-0.999,1.20603
-0.998,1.20603
-0.997,1.20603
-0.996,1.60804
-0.995,0.80402
-0.994,-0.40201
-0.993,-0.40201
-0.992,-0.80402
-0.991,0
-0.99,0.80402
-0.989,0.80402
-0.988,1.20603
-0.987,1.20603
-0.986,0.40201
-0.985,0
-0.984,0.40201
-0.983,0
-0.982,0.80402
-0.981,0.80402
-0.98,1.20603
-0.979,1.20603
-0.978,2.01005
-0.977,1.60804
-0.976,1.60804
-0.975,0.80402
-0.974,0
-0.973,0.40201
-0.972,0
-0.971,0.40201
-0.97,0
-0.969,-0.40201
-0.968,-0.40201
-0.967,-0.40201
-0.966,0
-0.965,-0.80402
-0.964,-0.80402
-0.963,-1.20603
-0.962,0
-0.961,0.40201
-0.96,0.80402
-0.959,0.80402
-0.958,0.80402
-0.957,0.40201
-0.956,0
-0.955,0
-0.954,0.80402
-0.953,0.80402
-0.952,1.20603
-0.951,1.20603
-0.95,0.80402
-0.949,0.40201
-0.948,0.40201
-0.947,0.40201
-0.946,-0.40201
-0.945,-0.80402
-0.944,-1.20603
-0.943,-1.20603
-0.942,0
-0.941,0.40201
-0.94,0.80402
-0.939,0.80402
-0.938,0.40201
-0.937,0
-0.936,-0.40201
-0.935,0.40201
-0.934,-0.40201
-0.933,0.40201
-0.932,1.20603
-0.931,0.80402
-0.93,0.80402
-0.929,0
-0.928,0
-0.927,0
-0.926,0
-0.925,-0.80402
-0.924,-1.20603
-0.923,-1.60804
-0.922,-0.80402
-0.921,0
-0.92,0.40201
-0.919,0.80402
-0.918,0.80402
-0.917,0.80402
-0.916,0.80402
-0.915,0.80402
-0.914,0.40201
-0.913,0.40201
-0.912,0.40201
-0.911,0.80402
-0.91,0.80402
-0.909,0.40201
-0.908,0
-0.907,-0.40201
-0.906,-0.80402
-0.905,-0.80402
-0.904,-0.80402
-0.903,-0.80402
-0.902,-0.40201
-0.901,0.40201
-0.9,0.40201
-0.899,0.80402
-0.898,0.80402
-0.897,0.80402
-0.896,1.20603
-0.895,0.40201
-0.894,-0.40201
-0.893,-0.40201
-0.892,-0.40201
-0.891,-0.40201
-0.89,-0.40201
-0.889,-0.40201
-0.888,-0.80402
-0.887,-0.80402
-0.886,0
-0.885,0.40201
-0.884,-0.40201
-0.883,-0.40201
-0.882,1.20603
-0.881,1.20603
-0.88,1.20603
-0.879,1.20603
-0.878,0.40201
-0.877,0.80402
-0.876,0
-0.875,0
-0.874,-0.40201
-0.873,0
-0.872,0.40201
-0.871,0.80402
-0.87,0
-0.869,0
-0.868,-0.40201
-0.867,-0.40201
-0.866,-0.80402
-0.865,-0.80402
-0.864,-0.80402
-0.863,-0.40201
-0.862,0.80402
-0.861,0.80402
-0.86,1.60804
-0.859,0.80402
-0.858,1.20603
-0.857,0.80402
-0.856,0.40201
-0.855,0.40201
-0.854,-0.40201
-0.853,0
-0.852,0.80402
-0.851,1.60804
-0.85,1.20603
-0.849,0.80402
-0.848,0.40201
-0.847,0.40201
-0.846,0.80402
-0.845,0
-0.844,-0.80402
-0.843,-0.40201
-0.842,0.40201
-0.841,1.20603
-0.84,0.80402
-0.839,0.40201
-0.838,1.20603
-0.837,1.20603
-0.836,0.80402
-0.835,0.80402
-0.834,0
-0.833,-0.40201
-0.832,0
-0.831,0.80402
-0.83,0.80402
-0.829,0.40201
-0.828,0.80402
-0.827,0.40201
-0.826,-1.20603
-0.825,-1.20603
-0.824,-0.40201
-0.823,-0.40201
-0.822,0.40201
-0.821,0.40201
-0.82,0.40201
-0.819,0.40201
-0.818,0.40201
-0.817,0.40201
-0.816,1.20603
-0.815,-0.40201
-0.814,-0.40201
-0.813,-0.40201
